"Site","Day","Month","Year","SurveyDate","Transect","Classcode","Amount","Distance","Latitude","Longitude","Depth_ft","Temp10m","Visibility"
"Cathedral Cove",23,6,2006,"23-Jun-06",5,"bat star",0,30,34.0165,-119.368,16.5,20,0
"Cathedral Cove",23,6,2006,"23-Jun-06",6,"bat star",0,30,34.0165,-119.368,11,20,15
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",1,"bat star",50,14,36.63777,-121.923,53.5,12,4
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",2,"bat star",50,12,36.63777,-121.923,49,12,4
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",3,"bat star",50,14,36.63777,-121.923,50.5,12,8
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",4,"bat star",50,14,36.63777,-121.923,47,12,8
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",5,"bat star",50,17,36.63777,-121.923,45,12,5
"Coral St Lucus Pt",26,7,2006,"26-Jul-06",6,"bat star",21,30,36.63777,-121.923,46.5,12,8
"Gerstle Cove",5,11,2006,"5-Nov-06",1,"bat star",50,21,38.56646,-123.33,9,15,4
"Gerstle Cove",5,11,2006,"5-Nov-06",2,"bat star",50,14,38.56646,-123.33,13.5,15,4
"Gerstle Cove",5,11,2006,"5-Nov-06",3,"bat star",50,15,38.56646,-123.33,14,15,4
"Gerstle Cove",5,11,2006,"5-Nov-06",4,"bat star",37,30,38.56646,-123.33,12,15,5
"Gerstle Cove",5,11,2006,"5-Nov-06",5,"bat star",50,12,38.56646,-123.33,16,15,5
"Gerstle Cove",5,11,2006,"5-Nov-06",6,"bat star",50,16,38.56646,-123.33,13,15,5
"Hopkins",26,8,2006,"26-Aug-06",1,"bat star",44,30,36.62185,-121.902,30.5,11,10
"Hopkins",26,8,2006,"26-Aug-06",2,"bat star",46,30,36.62185,-121.902,27,11,10
"Hopkins",26,8,2006,"26-Aug-06",3,"bat star",50,14,36.62185,-121.902,31.5,11,10
"Hopkins",26,8,2006,"26-Aug-06",4,"bat star",60,25,36.62185,-121.902,29,11,10
"Hopkins",26,8,2006,"26-Aug-06",5,"bat star",34,30,36.62185,-121.902,30.5,11,10
"Hopkins",26,8,2006,"26-Aug-06",6,"bat star",50,21,36.62185,-121.902,27,11,10
"IV Reef",28,10,2006,"28-Oct-06",1,"bat star",0,30,34.40305,-119.866,40.5,18,4
"IV Reef",28,10,2006,"28-Oct-06",2,"bat star",0,30,34.40305,-119.866,39,18,3
"IV Reef",28,10,2006,"28-Oct-06",3,"bat star",2,30,34.40305,-119.866,40.5,18,3
"IV Reef",28,10,2006,"28-Oct-06",4,"bat star",1,30,34.40305,-119.866,34.5,18,4
"IV Reef",28,10,2006,"28-Oct-06",5,"bat star",0,30,34.40305,-119.866,35.5,18,3
"IV Reef",28,10,2006,"28-Oct-06",6,"bat star",0,30,34.40305,-119.866,34,18,3
"Leo Carillo North",18,11,2006,"18-Nov-06",1,"bat star",50,22,34.04353,-118.945,25.5,18,5
"Leo Carillo North",18,11,2006,"18-Nov-06",2,"bat star",18,30,34.04353,-118.945,27.5,18,5
"Leo Carillo North",18,11,2006,"18-Nov-06",3,"bat star",2,30,34.04353,-118.945,26,18,5
"Leo Carillo North",18,11,2006,"18-Nov-06",4,"bat star",1,30,34.04353,-118.945,26,18,4
"Leo Carillo North",18,11,2006,"18-Nov-06",5,"bat star",0,30,34.04353,-118.945,23,18,4
"Leo Carillo North",18,11,2006,"18-Nov-06",6,"bat star",1,30,34.04353,-118.945,16,18,5
"Lovers Point",16,9,2006,"16-Sep-06",1,"bat star",50,16,36.62545,-121.912,43,NA,0
"Lovers Point",16,9,2006,"16-Sep-06",2,"bat star",50,12,36.62545,-121.912,NA,NA,0
"Lovers Point",16,9,2006,"16-Sep-06",3,"bat star",50,7,36.62545,-121.912,43,NA,6
"Lovers Point",16,9,2006,"16-Sep-06",4,"bat star",23,30,36.62545,-121.912,25.5,NA,4
"Lovers Point",16,9,2006,"16-Sep-06",5,"bat star",39,30,36.62545,-121.912,28.5,NA,10
"Lovers Point",16,9,2006,"16-Sep-06",6,"bat star",51,5,36.62545,-121.912,22,NA,0
"MacAbee",25,8,2006,"25-Aug-06",1,"bat star",50,21,36.6184,-121.898,45.5,11,8
"MacAbee",25,8,2006,"25-Aug-06",2,"bat star",50,27,36.6184,-121.898,47,11,9
"MacAbee",25,8,2006,"25-Aug-06",3,"bat star",50,11,36.6184,-121.898,37,11,15
"MacAbee",25,8,2006,"25-Aug-06",4,"bat star",23,30,36.6184,-121.898,28,11,5
"MacAbee",25,8,2006,"25-Aug-06",5,"bat star",41,30,36.6184,-121.898,NA,11,9
"MacAbee",25,8,2006,"25-Aug-06",6,"bat star",24,30,36.6184,-121.898,25.5,11,15
"Malaga Cove",17,9,2006,"17-Sep-06",1,"bat star",0,30,33.80365,-118.398,15,NA,4
"Malaga Cove",17,9,2006,"17-Sep-06",2,"bat star",0,30,33.80365,-118.398,10.5,NA,3
"Malaga Cove",17,9,2006,"17-Sep-06",3,"bat star",0,30,33.80365,-118.398,12,NA,4
"Malaga Cove",17,9,2006,"17-Sep-06",4,"bat star",0,30,33.80365,-118.398,13,NA,4
"Malaga Cove",17,9,2006,"17-Sep-06",5,"bat star",0,30,33.80365,-118.398,11.5,NA,5
"Malaga Cove",17,9,2006,"17-Sep-06",6,"bat star",0,30,33.80365,-118.398,12,NA,5
"Middle Reef",3,11,2006,"3-Nov-06",1,"bat star",50,14,36.52248,-121.939,46,NA,0
"Middle Reef",3,11,2006,"3-Nov-06",2,"bat star",50,14,36.52248,-121.939,NA,NA,0
"Middle Reef",3,11,2006,"3-Nov-06",3,"bat star",50,24,36.52248,-121.939,45.5,NA,15
"Middle Reef",3,11,2006,"3-Nov-06",4,"bat star",50,11,36.52248,-121.939,29,NA,10
"Middle Reef",3,11,2006,"3-Nov-06",5,"bat star",50,14,36.52248,-121.939,29.5,NA,0
"Middle Reef",3,11,2006,"3-Nov-06",6,"bat star",50,9,36.52248,-121.939,31.5,NA,0
"Otter Cove",1,10,2006,"1-Oct-06",1,"bat star",45,14,36.63493,-121.92,32.5,NA,3
"Otter Cove",1,10,2006,"1-Oct-06",2,"bat star",50,14,36.63493,-121.92,37,NA,3
"Otter Cove",1,10,2006,"1-Oct-06",3,"bat star",50,25,36.63493,-121.92,29,NA,0
"Otter Cove",1,10,2006,"1-Oct-06",4,"bat star",45,10,36.63493,-121.92,23,NA,4
"Otter Cove",1,10,2006,"1-Oct-06",5,"bat star",46,30,36.63493,-121.92,24,NA,3
"Otter Cove",1,10,2006,"1-Oct-06",6,"bat star",39,30,36.63493,-121.92,21,NA,0
"Pelican Anchorage",30,4,2006,"30-Apr-06",1,"bat star",8,30,34.03565,-119.702,30,12,7
"Pelican Anchorage",30,4,2006,"30-Apr-06",2,"bat star",6,30,34.03565,-119.702,30,12,7
"Pelican Anchorage",30,4,2006,"30-Apr-06",3,"bat star",8,30,34.03565,-119.702,31,12,7
"Pelican Anchorage",30,4,2006,"30-Apr-06",4,"bat star",16,30,34.03565,-119.702,20.5,12,6
"Pelican Anchorage",30,4,2006,"30-Apr-06",5,"bat star",15,30,34.03565,-119.702,21,12,6
"Pelican Anchorage",30,4,2006,"30-Apr-06",6,"bat star",15,30,34.03565,-119.702,22,12,6
"Pescadero",22,10,2006,"22-Oct-06",1,"bat star",50,12,36.5623,-121.96,57.5,NA,4
"Pescadero",22,10,2006,"22-Oct-06",2,"bat star",50,25,36.5623,-121.96,NA,NA,0
"Pescadero",22,10,2006,"22-Oct-06",3,"bat star",50,25,36.5623,-121.96,60.5,NA,2
"Pescadero",22,10,2006,"22-Oct-06",4,"bat star",43,30,36.5623,-121.96,56,NA,0
"Pescadero",22,10,2006,"22-Oct-06",5,"bat star",5,30,36.5623,-121.96,42,NA,6
"Pescadero",22,10,2006,"22-Oct-06",6,"bat star",23,30,36.5623,-121.96,60.5,NA,0
"Refugio State Beach",10,6,2006,"10-Jun-06",1,"bat star",6,30,34.46106,-120.067,13,NA,3
"Refugio State Beach",10,6,2006,"10-Jun-06",2,"bat star",0,30,34.46106,-120.067,16.5,NA,3
"Refugio State Beach",10,6,2006,"10-Jun-06",3,"bat star",0,30,34.46106,-120.067,16.5,NA,4
"Refugio State Beach",10,6,2006,"10-Jun-06",4,"bat star",3,30,34.46106,-120.067,18,NA,3
"Refugio State Beach",10,6,2006,"10-Jun-06",5,"bat star",0,30,34.46106,-120.067,18,NA,3
"Refugio State Beach",10,6,2006,"10-Jun-06",6,"bat star",0,30,34.46106,-120.067,17,NA,4
"Weston",21,10,2006,"21-Oct-06",1,"bat star",39,14,36.5112,-121.946,69,NA,0
"Weston",21,10,2006,"21-Oct-06",2,"bat star",25,30,36.5112,-121.946,NA,NA,7
"Weston",21,10,2006,"21-Oct-06",3,"bat star",40,30,36.5112,-121.946,58.5,NA,0
"Weston",21,10,2006,"21-Oct-06",4,"bat star",33,30,36.5112,-121.946,58,NA,7
"Weston",21,10,2006,"21-Oct-06",5,"bat star",50,14,36.5112,-121.946,46,NA,5
"Weston",21,10,2006,"21-Oct-06",6,"bat star",22,30,36.5112,-121.946,NA,NA,5
"120 Reef",9,9,2007,"9-Sep-07",1,"bat star",10,30,33.73792,-118.392,27.5,13,3
"120 Reef",9,9,2007,"9-Sep-07",2,"bat star",12,30,33.73792,-118.392,29.5,13,3
"120 Reef",9,9,2007,"9-Sep-07",3,"bat star",12,30,33.73792,-118.392,26.5,13,3
"120 Reef",9,9,2007,"9-Sep-07",4,"bat star",8,30,33.73792,-118.392,24.5,13,5
"120 Reef",9,9,2007,"9-Sep-07",5,"bat star",11,30,33.73792,-118.392,19,13,0
"120 Reef",9,9,2007,"9-Sep-07",6,"bat star",5,30,33.73792,-118.392,17.5,13,4
"Abalone Cove",29,9,2007,"29-Sep-07",1,"bat star",18,30,33.73615,-118.376,38.5,18,4
"Abalone Cove",29,9,2007,"29-Sep-07",2,"bat star",3,30,33.73615,-118.376,20.5,18,3
"Abalone Cove",29,9,2007,"29-Sep-07",3,"bat star",9,30,33.73615,-118.376,36,18,3
"Abalone Cove",29,9,2007,"29-Sep-07",4,"bat star",13,30,33.73615,-118.376,21,18,3
"Abalone Cove",29,9,2007,"29-Sep-07",5,"bat star",0,30,33.73615,-118.376,18,18,3
"Abalone Cove",29,9,2007,"29-Sep-07",6,"bat star",7,30,33.73615,-118.376,19,18,3
"Aquarium",2,10,2007,"2-Oct-07",1,"bat star",50,10,36.61923,-121.899,35.5,14,3
"Aquarium",2,10,2007,"2-Oct-07",2,"bat star",50,10,36.61923,-121.899,38,14,3
"Aquarium",2,10,2007,"2-Oct-07",3,"bat star",50,21,36.61923,-121.899,40,14,3
"Aquarium",2,10,2007,"2-Oct-07",4,"bat star",14,30,36.61923,-121.899,26,14,3
"Aquarium",2,10,2007,"2-Oct-07",5,"bat star",3,30,36.61923,-121.899,26,14,3
"Aquarium",2,10,2007,"2-Oct-07",6,"bat star",15,30,36.61923,-121.899,29,14,3
"Aquarium",25,5,2007,"25-May-07",1,"bat star",0,30,36.61923,-121.899,47,10,3
"Aquarium",25,5,2007,"25-May-07",2,"bat star",50,10,36.61923,-121.899,38.5,10,4
"Aquarium",25,5,2007,"25-May-07",3,"bat star",50,15,36.61923,-121.899,36.5,10,4
"Aquarium",25,5,2007,"25-May-07",4,"bat star",0,30,36.61923,-121.899,36.5,10,3
"Aquarium",25,5,2007,"25-May-07",5,"bat star",50,23,36.61923,-121.899,38,10,4
"Aquarium",25,5,2007,"25-May-07",6,"bat star",50,20,36.61923,-121.899,35.5,10,4
"Aquarium",28,7,2007,"28-Jul-07",1,"bat star",50,30,36.61923,-121.899,31.5,NA,7
"Aquarium",28,7,2007,"28-Jul-07",2,"bat star",40,30,36.61923,-121.899,43.5,NA,7
"Aquarium",28,7,2007,"28-Jul-07",3,"bat star",82,20,36.61923,-121.899,22.5,NA,6
"Aquarium",28,7,2007,"28-Jul-07",4,"bat star",22,30,36.61923,-121.899,30.5,NA,7
"Aquarium",28,7,2007,"28-Jul-07",5,"bat star",24,30,36.61923,-121.899,22.5,NA,6
"Aquarium",28,7,2007,"28-Jul-07",6,"bat star",50,17,36.61923,-121.899,33,NA,7
"Big Creek",19,8,2007,"19-Aug-07",1,"bat star",50,12,36.06918,-121.601,48,9,12
"Big Creek",19,8,2007,"19-Aug-07",2,"bat star",52,10,36.06918,-121.601,50,9,17
"Big Creek",19,8,2007,"19-Aug-07",3,"bat star",50,12,36.06918,-121.601,61,9,12
"Big Creek",19,8,2007,"19-Aug-07",4,"bat star",56,24,36.06918,-121.601,24,9,10
"Big Creek",19,8,2007,"19-Aug-07",5,"bat star",51,22,36.06918,-121.601,34.5,9,9
"Big Creek",19,8,2007,"19-Aug-07",6,"bat star",50,23,36.06918,-121.601,32,9,10
"Big Rock",7,10,2007,"7-Oct-07",1,"bat star",5,30,34.03517,-118.608,30,NA,0
"Big Rock",7,10,2007,"7-Oct-07",2,"bat star",0,30,34.03517,-118.608,24,NA,2
"Big Rock",7,10,2007,"7-Oct-07",3,"bat star",0,30,34.03517,-118.608,22.5,NA,3
"Big Rock",7,10,2007,"7-Oct-07",4,"bat star",2,30,34.03517,-118.608,19,NA,0
"Big Rock",7,10,2007,"7-Oct-07",5,"bat star",0,30,34.03517,-118.608,NA,NA,2
"Big Rock",7,10,2007,"7-Oct-07",6,"bat star",0,30,34.03517,-118.608,22,NA,3
"Breakwater",6,7,2007,"6-Jul-07",1,"bat star",50,6,36.61045,-121.894,24,NA,3
"Breakwater",6,7,2007,"6-Jul-07",2,"bat star",50,6,36.61045,-121.894,26,NA,4
"Breakwater",6,7,2007,"6-Jul-07",3,"bat star",64,4,36.61045,-121.894,21.5,NA,3
"Breakwater",6,7,2007,"6-Jul-07",4,"bat star",50,18,36.61045,-121.894,22.5,NA,3
"Breakwater",6,7,2007,"6-Jul-07",5,"bat star",50,14,36.61045,-121.894,23,NA,4
"Breakwater",6,7,2007,"6-Jul-07",6,"bat star",50,15,36.61045,-121.894,NA,NA,3
"Breakwater",31,8,2007,"31-Aug-07",1,"bat star",50,25,36.61045,-121.894,24.5,NA,4
"Breakwater",31,8,2007,"31-Aug-07",2,"bat star",50,15,36.61045,-121.894,24,NA,4
"Breakwater",31,8,2007,"31-Aug-07",3,"bat star",50,21,36.61045,-121.894,26,NA,4
"Breakwater",31,8,2007,"31-Aug-07",4,"bat star",23,30,36.61045,-121.894,13,NA,4
"Breakwater",31,8,2007,"31-Aug-07",5,"bat star",25,30,36.61045,-121.894,14,NA,4
"Breakwater",31,8,2007,"31-Aug-07",6,"bat star",50,23,36.61045,-121.894,12.5,NA,5
"Broomtail Reef",3,11,2007,"3-Nov-07",1,"bat star",0,30,32.69423,-117.268,40,14,11
"Broomtail Reef",3,11,2007,"3-Nov-07",2,"bat star",0,30,32.69423,-117.268,38.5,14,11
"Broomtail Reef",3,11,2007,"3-Nov-07",3,"bat star",0,30,32.69423,-117.268,37,14,8
"Broomtail Reef",3,11,2007,"3-Nov-07",4,"bat star",0,30,32.69423,-117.268,36.5,14,8
"Broomtail Reef",3,11,2007,"3-Nov-07",5,"bat star",0,30,32.69423,-117.268,38,14,8
"Broomtail Reef",3,11,2007,"3-Nov-07",6,"bat star",0,30,32.69423,-117.268,36.5,14,7
"Carmel River",16,6,2007,"16-Jun-07",1,"bat star",50,8,36.53908,-121.935,50.5,NA,5
"Carmel River",16,6,2007,"16-Jun-07",2,"bat star",50,7,36.53908,-121.935,58,NA,7
"Carmel River",16,6,2007,"16-Jun-07",3,"bat star",NA,30,36.53908,-121.935,66,NA,7
"Carmel River",16,6,2007,"16-Jun-07",4,"bat star",50,9,36.53908,-121.935,41,NA,5
"Carmel River",16,6,2007,"16-Jun-07",5,"bat star",50,8,36.53908,-121.935,44,NA,5
"Carmel River",16,6,2007,"16-Jun-07",6,"bat star",50,10,36.53908,-121.935,41.5,NA,5
"Casino Point",1,6,2007,"1-Jun-07",1,"bat star",0,30,33.34917,-118.325,45,12,10
"Casino Point",1,6,2007,"1-Jun-07",2,"bat star",0,30,33.34917,-118.325,54,12,10
"Casino Point",1,6,2007,"1-Jun-07",3,"bat star",0,30,33.34917,-118.325,52,12,11
"Casino Point",1,6,2007,"1-Jun-07",4,"bat star",0,30,33.34917,-118.325,36,12,11
"Casino Point",1,6,2007,"1-Jun-07",5,"bat star",0,30,33.34917,-118.325,37,12,10
"Casino Point",1,6,2007,"1-Jun-07",6,"bat star",0,30,33.34917,-118.325,34.5,12,11
"Casino Point",11,11,2007,"11-Nov-07",1,"bat star",0,30,33.34917,-118.325,53,16,20
"Casino Point",11,11,2007,"11-Nov-07",2,"bat star",0,30,33.34917,-118.325,51,16,20
"Casino Point",11,11,2007,"11-Nov-07",3,"bat star",0,30,33.34917,-118.325,49,16,12
"Casino Point",11,11,2007,"11-Nov-07",4,"bat star",0,30,33.34917,-118.325,39,16,11
"Casino Point",11,11,2007,"11-Nov-07",5,"bat star",0,30,33.34917,-118.325,42.5,16,11
"Casino Point",11,11,2007,"11-Nov-07",6,"bat star",0,30,33.34917,-118.325,40.5,16,11
"Christmas Tree Cove",18,11,2007,"18-Nov-07",1,"bat star",19,30,33.7604,-118.421,29.5,15,4
"Christmas Tree Cove",18,11,2007,"18-Nov-07",2,"bat star",44,30,33.7604,-118.421,42.5,15,4
"Christmas Tree Cove",18,11,2007,"18-Nov-07",3,"bat star",9,30,33.7604,-118.421,41,15,3
"Christmas Tree Cove",18,11,2007,"18-Nov-07",4,"bat star",29,30,33.7604,-118.421,41,15,5
"Christmas Tree Cove",18,11,2007,"18-Nov-07",5,"bat star",7,30,33.7604,-118.421,39,15,5
"Christmas Tree Cove",18,11,2007,"18-Nov-07",6,"bat star",35,30,33.7604,-118.421,36.5,15,3
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",1,"bat star",50,18,36.63777,-121.923,47,NA,4
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",2,"bat star",48,16,36.63777,-121.923,46,NA,4
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",3,"bat star",50,14,36.63777,-121.923,45.5,NA,4
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",4,"bat star",50,29,36.63777,-121.923,NA,NA,5
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",5,"bat star",50,25,36.63777,-121.923,26,NA,5
"Coral St Lucus Pt",9,6,2007,"9-Jun-07",6,"bat star",21,30,36.63777,-121.923,33.5,NA,5
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",1,"bat star",38,30,36.63777,-121.923,30.5,11,6
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",2,"bat star",26,30,36.63777,-121.923,26.5,11,6
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",3,"bat star",50,23,36.63777,-121.923,30,11,6
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",4,"bat star",50,24,36.63777,-121.923,36.5,11,6
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",5,"bat star",50,15,36.63777,-121.923,37.5,11,6
"Coral St Lucus Pt",14,9,2007,"14-Sep-07",6,"bat star",50,14,36.63777,-121.923,40.5,11,6
"East Point",11,8,2007,"11-Aug-07",1,"bat star",0,30,33.94397,-119.965,29,16,9
"East Point",11,8,2007,"11-Aug-07",2,"bat star",0,30,33.94397,-119.965,34.5,16,9
"East Point",11,8,2007,"11-Aug-07",3,"bat star",0,30,33.94397,-119.965,36,16,9
"East Point",11,8,2007,"11-Aug-07",4,"bat star",0,30,33.94397,-119.965,17.5,16,9
"East Point",11,8,2007,"11-Aug-07",5,"bat star",0,30,33.94397,-119.965,15.5,16,9
"East Point",11,8,2007,"11-Aug-07",6,"bat star",0,30,33.94397,-119.965,14,16,9
"Elk Ridge",11,8,2007,"11-Aug-07",1,"bat star",0,30,33.95334,-119.969,28.5,17,9
"Elk Ridge",11,8,2007,"11-Aug-07",2,"bat star",0,30,33.95334,-119.969,27,17,9
"Elk Ridge",11,8,2007,"11-Aug-07",3,"bat star",0,30,33.95334,-119.969,25.5,17,9
"Elk Ridge",11,8,2007,"11-Aug-07",4,"bat star",0,30,33.95334,-119.969,12,17,9
"Elk Ridge",11,8,2007,"11-Aug-07",5,"bat star",0,30,33.95334,-119.969,13.5,17,9
"Elk Ridge",11,8,2007,"11-Aug-07",6,"bat star",0,30,33.95334,-119.969,13.5,17,9
"Ft Ross",14,8,2007,"14-Aug-07",1,"bat star",50,22,38.5106,-123.245,24,11,5
"Ft Ross",14,8,2007,"14-Aug-07",2,"bat star",12,30,38.5106,-123.245,26,11,5
"Ft Ross",14,8,2007,"14-Aug-07",3,"bat star",0,30,38.5106,-123.245,27.5,11,5
"Ft Ross",14,8,2007,"14-Aug-07",4,"bat star",24,30,38.5106,-123.245,22.5,11,5
"Ft Ross",14,8,2007,"14-Aug-07",5,"bat star",50,12,38.5106,-123.245,25,11,5
"Ft Ross",14,8,2007,"14-Aug-07",6,"bat star",50,15,38.5106,-123.245,28,11,5
"Gerstle Cove",11,3,2007,"11-Mar-07",1,"bat star",50,20,38.56646,-123.33,9,13,6
"Gerstle Cove",11,3,2007,"11-Mar-07",2,"bat star",50,7,38.56646,-123.33,10,13,6
"Gerstle Cove",11,3,2007,"11-Mar-07",3,"bat star",50,9,38.56646,-123.33,16.5,13,6
"Gerstle Cove",11,3,2007,"11-Mar-07",4,"bat star",50,27,38.56646,-123.33,8.5,13,5
"Gerstle Cove",11,3,2007,"11-Mar-07",5,"bat star",50,8,38.56646,-123.33,10.5,13,5
"Gerstle Cove",11,3,2007,"11-Mar-07",6,"bat star",50,14,38.56646,-123.33,17,13,5
"Gerstle Cove",13,10,2007,"13-Oct-07",1,"bat star",50,8,38.56646,-123.33,10,12,3
"Gerstle Cove",13,10,2007,"13-Oct-07",2,"bat star",50,19,38.56646,-123.33,10.5,12,3
"Gerstle Cove",13,10,2007,"13-Oct-07",3,"bat star",50,5,38.56646,-123.33,10.5,12,3
"Gerstle Cove",13,10,2007,"13-Oct-07",4,"bat star",0,30,38.56646,-123.33,10,12,3
"Gerstle Cove",13,10,2007,"13-Oct-07",5,"bat star",50,10,38.56646,-123.33,13,12,3
"Gerstle Cove",13,10,2007,"13-Oct-07",6,"bat star",50,15,38.56646,-123.33,17.5,12,0
"Hawthorne Reef",15,9,2007,"15-Sep-07",1,"bat star",24,30,33.747,-118.416,30.5,11,5
"Hawthorne Reef",15,9,2007,"15-Sep-07",2,"bat star",40,30,33.747,-118.416,41,11,5
"Hawthorne Reef",15,9,2007,"15-Sep-07",3,"bat star",22,30,33.747,-118.416,45,11,5
"Hawthorne Reef",15,9,2007,"15-Sep-07",4,"bat star",22,30,33.747,-118.416,32,11,5
"Hawthorne Reef",15,9,2007,"15-Sep-07",5,"bat star",27,30,33.747,-118.416,38.5,11,5
"Hawthorne Reef",15,9,2007,"15-Sep-07",6,"bat star",4,30,33.747,-118.416,31,11,4
"Hopkins",29,9,2007,"29-Sep-07",1,"bat star",50,23,36.62185,-121.902,28.5,13,5
"Hopkins",29,9,2007,"29-Sep-07",2,"bat star",31,30,36.62185,-121.902,28,13,4
"Hopkins",29,9,2007,"29-Sep-07",3,"bat star",25,30,36.62185,-121.902,28.5,13,4
"Hopkins",29,9,2007,"29-Sep-07",4,"bat star",50,10,36.62185,-121.902,31.5,13,4
"Hopkins",29,9,2007,"29-Sep-07",5,"bat star",50,10,36.62185,-121.902,26.5,13,4
"Hopkins",29,9,2007,"29-Sep-07",6,"bat star",27,30,36.62185,-121.902,25,13,4
"IV Reef",28,5,2007,"28-May-07",1,"bat star",11,30,34.40305,-119.866,28,13,4
"IV Reef",28,5,2007,"28-May-07",2,"bat star",10,30,34.40305,-119.866,28,13,4
"IV Reef",28,5,2007,"28-May-07",3,"bat star",6,30,34.40305,-119.866,29.5,13,4
"IV Reef",28,5,2007,"28-May-07",4,"bat star",9,30,34.40305,-119.866,20.5,13,3
"IV Reef",28,5,2007,"28-May-07",5,"bat star",4,30,34.40305,-119.866,18.5,13,4
"IV Reef",28,5,2007,"28-May-07",6,"bat star",2,30,34.40305,-119.866,25.5,13,4
"Isthmus Reef",19,11,2007,"19-Nov-07",1,"bat star",0,30,33.44832,-118.491,52,13,19
"Isthmus Reef",19,11,2007,"19-Nov-07",2,"bat star",0,30,33.44832,-118.491,55.5,13,15
"Isthmus Reef",19,11,2007,"19-Nov-07",3,"bat star",0,30,33.44832,-118.491,39,13,15
"Isthmus Reef",19,11,2007,"19-Nov-07",4,"bat star",0,30,33.44832,-118.491,24.5,13,15
"Isthmus Reef",19,11,2007,"19-Nov-07",5,"bat star",0,30,33.44832,-118.491,28.5,13,12
"Isthmus Reef",19,11,2007,"19-Nov-07",6,"bat star",0,30,33.44832,-118.491,22,13,9
"Judith Reserve San Miguel Island",13,9,2007,"13-Sep-07",1,"bat star",50,8,34.02328,-120.44,39.5,11,14
"Judith Reserve San Miguel Island",13,9,2007,"13-Sep-07",2,"bat star",50,16,34.02328,-120.44,37.5,11,16
"Judith Reserve San Miguel Island",13,9,2007,"13-Sep-07",3,"bat star",50,8,34.02328,-120.44,40.5,11,15
"Judith Reserve San Miguel Island",13,9,2007,"13-Sep-07",4,"bat star",52,8,34.02328,-120.44,36,11,10
"Judith Reserve San Miguel Island",13,9,2007,"13-Sep-07",5,"bat star",50,11,34.02328,-120.44,35.5,11,0
